機種,下階,品名,需求總量,出貨地,用量比,噸位,產能,需求工時,顏色,優先級
Lagniappe 68-5322-01,1B961TB51-00E,連接蓋,0,內交,1,50T,450 ,0 ,其他,1
Lagniappe 68-5322-01,1B41W1F00-00E,屏幕支架,0,內交,1,100T,131 ,0 ,其他,1
Lagniappe 68-5322-01,1B41W1700-01E,前蓋,0,內交,1,250T,55 ,0 ,其他,1
Lagniappe 68-5322-01,1B41W1800-01E,選擇鍵1,0,內交,1,HDC200T,480 ,0 ,其他,1
Lagniappe 68-5322-01,1B41W1900-01E,選擇鍵2,0,內交,1,HDC200T,480 ,0 ,其他,1
Lagniappe 68-5322-01,1B41W1A00-01E,按鍵,0,內交,2,HDC200T,120 ,0 ,其他,1
Lagniappe 68-5322-01,1B41W1600-01E,后蓋,0,內交,1,250T,55 ,0 ,其他,1
Lagniappe 68-5322-01,1B41W1B00-01E,連接器右擋板,0,內交,1,50T,288 ,0 ,其他,1
Lagniappe 68-5322-01,1B41W1C00-01E,連接器左擋板,0,內交,1,50T,288 ,0 ,其他,1
Lagniappe 68-5322-01,1B41W1D00-01E,腳架下蓋,0,內交,1,50T外包,144 ,0 ,其他,1
Lagniappe 68-5322-01,1B41W1E00-01E,腳架上蓋,0,內交,1,100T外包,131 ,0 ,其他,1
Lagniappe 白68-5718-01,1B41W1700-31E,前蓋,0,內交,1,250T,55 ,0 ,其他,1
Lagniappe 白68-5718-01,1B41W1800-31E,選擇鍵1,0,內交,1,HDC200T,480 ,0 ,其他,1
Lagniappe 白68-5718-01,1B41W1900-31E,選擇鍵2,0,內交,1,HDC200T,480 ,0 ,其他,1
Lagniappe 白68-5718-01,1B41W1600-31E,后蓋,0,內交,1,250T,55 ,0 ,其他,1
Beignet  6250088-00,1B41AT200-01E,喇叭下蓋,0,內交,1,350T外包,131 ,0 ,其他,1
Beignet  6250088-00,1B41AUM00-01E,喇叭上蓋,0,內交,1,250T,131 ,0 ,其他,1
Beignet  6250088-00,1B41BUJ00-02E,銘牌底座,0,內交,1,50T,411 ,0 ,其他,1
Beignet  6250088-00,1B41AT300-01E,支架,0,內交,1,250T,65 ,0 ,其他,1
Beignet  6250088-00,1B41AUL00-01E,按鍵,0,內交,1,HDC200T,351 ,0 ,其他,1
Beignet  6250088-00,1B41AT000-01E,導光柱,0,內交,3,100T外包,411 ,0 ,其他,1
Beignet  6250088-00,1B41AT500-01E,下蓋,0,內交,1,450T,36 ,0 ,其他,1
Beignet  6250097-00,1B41DCU03-02E,上蓋(未印刷),0,內交,1,180T外包,126 ,0 ,其他,1
Beignet  6250097-00,1B41DCU04-01E,數字鍵,0,內交,1,HDC200T外包,138 ,0 ,其他,1
Beignet  6250097-00,1B41DCU05-01E,靜音鍵,0,內交,1,DC120T,277 ,0 ,其他,1
Beignet  6250097-00,1B41DCU10-01E,功能鍵,0,內交,1,DC120T,277 ,0 ,其他,1
Beignet  6250097-00,1B41DCU06-01E,功能鍵,0,內交,1,50T,160 ,0 ,其他,1
Beignet  6250097-00,1B41DCU07-01E,音量鍵,0,內交,1,DC120T,277 ,0 ,其他,1
Beignet  6250097-00,1B41DCU08-01E,調解鍵,0,內交,1,DC120T,277 ,0 ,其他,1
Beignet  6250097-00,1B41DCU09-02E,功能鍵(未印刷),0,內交,1,DC120T外包,277 ,0 ,其他,1
Beignet  6250097-00,1B41DCU01-01E,後蓋,0,內交NSD,1,180T外包,120 ,0 ,其他,1
Beignet  6250091-00,1B41CQ700-01E,後蓋,0,內交NSD,2,100T,180 ,0 ,其他,1
Beignet  6250091-00,1B41CQ900-01E,按鍵,0,內交,2,HDC200T,240 ,0 ,其他,1
Beignet  6250091-00,1B41CQ600-01E,上蓋,0,內交,2,100T,180 ,0 ,其他,1
Beignet 6250090-00 ,1B41CQB00-01E,上蓋,0,內交,2,100T,180 ,0 ,其他,1
Beignet 6250090-00 ,1B41CQA00-01E,導光柱,0,內交,2,50T,460 ,0 ,其他,1
Beignet 6250090-00 ,1B41CQ900-01E,按鍵,0,內交,2,HDC200T,240 ,0 ,其他,1
Beignet 6250090-00 ,1B41CQ800-01E,電池蓋,0,內交NSD,2,50T,411 ,0 ,其他,1
Beignet 6250090-00 ,1B41CQC00-01E,後蓋,0,內交NSD,2,100T,180 ,0 ,其他,1
Beignet 6250095-00,1B41AT400-01E,充電器下蓋,0,內交,1,180T,160 ,0 ,其他,1
Beignet 6250095-00,1B41AT100-01E,導光柱,0,內交NSD,1,50T,411 ,0 ,其他,1
Beignet 6250095-00,1B41AUN00-01E,充電器上蓋,0,內交NSD,1,250T,99 ,0 ,其他,1
Beignet ,1B41DCU02-01E,面窗,0,內交,1,100T,144 ,0 ,其他,1
Big Easy Snoopy 800-39636-01/04,1B01N3D00-21E,聽筒支架,112630,內交,1,100T,379 ,297 ,其他,1
Big Easy Snoopy 800-39636-01/04,1B417M800-01E,聽筒導光柱,112630,內交,1,50T,226 ,497 ,其他,1
Big Easy Snoopy 800-39636-01/04,1B417M900-01E,聽筒上蓋,112630,內交,1,180T,116 ,970 ,其他,1
Big Easy Snoopy 800-39636-01/04,1B417MA00-01E,聽筒底蓋,112630,內交,1,180T,133 ,845 ,其他,1
Big Easy,1B41UD700-01E,前蓋,36000,內交,1,350T,63 ,570 ,其他,1
Big Easy,1B41UD800-01E,上支架,52630,內交,1,DC200T外包,160 ,329 ,其他,1
Big Easy,1B41UD900-01E,下支架,52630,內交,1,DC200T外包,240 ,219 ,其他,1
Big Easy,1B41UD500-01E,喇叭上蓋,52630,內交,1,250T外包,267 ,197 ,其他,1
Big Easy,1B41UD600-01E,喇叭下蓋,52630,內交,1,250T外包,262 ,201 ,其他,1
Big Easy,1B41UDA00-01E,切斷鍵,52630,內交,1,100T外包,167 ,314 ,其他,1
Big Easy,1B41UDB00-01E,掛鉤,52630,內交,1,100T,320 ,164 ,其他,1
Big Easy,1B41UDC00-01E,數字鍵,52630,內交,1,HDC200T外包,111 ,475 ,其他,1
Big Easy,1B41UDH00-01E,功能鍵,52630,內交,1,HDC200T外包,222 ,238 ,其他,1
Big Easy,1B41UDD00-01E,功能鍵,52630,內交,1,DC200T,144 ,122 ,其他,1
Big Easy,1B41UDD00-02E,功能鍵,52630,內交,1,DC200T,144 ,122 ,其他,1
Big Easy,1B41UDD00-03E,功能鍵,52630,內交,1,DC200T,144 ,122 ,其他,1
Big Easy,1B41UCU00-01E,會議鍵,52630,內交,1,DC200T,144 ,122 ,其他,1
Big Easy,1B41UCU00-02E,會議鍵,52630,內交,1,DC200T,144 ,122 ,其他,1
Big Easy,1B41UCU00-03E,會議鍵,52630,內交,1,DC200T,144 ,122 ,其他,1
Big Easy,1B41UCV00-01E,返回鍵,52630,內交,1,DC200T外包,1371 ,38 ,其他,1
Big Easy,1B41UCW00-01E,掛斷鍵,52630,內交,1,DC200T外包,1371 ,38 ,其他,1
Big Easy,1B41UCY00-01E,軟鍵,52630,內交,1,100T,360 ,146 ,其他,1
Big Easy,1B41UD000-01E,音量鍵,52630,內交,1,DC200T外包,720 ,73 ,其他,1
Big Easy,1B41UD100-01E,透光鍵,52630,內交,1,DC120T,351 ,150 ,其他,1
Big Easy,1B41UD200-01E,LCD支架,72000,內交,2,130T外包,131 ,550 ,其他,1
Big Easy,1A328AE00-01E,後蓋總成,16000,內交NSD,1,350T,51 ,311 ,其他,1
Big Easy,1A328AD00-01E,後蓋總成,20000,內交NSD,1,350T,51 ,389 ,其他,1
Big Easy,1A328AC00-01E,後蓋總成,0,內交NSD,1,350T,51 ,0 ,其他,1
Big Easy,700-44954-01,燈罩,52630,內交,1,100T,1565 ,34 ,其他,1
Big Easy,700-44998-01,連接蓋,52630,內交NSD,1,50T,400 ,132 ,其他,1
Big Easy,700-44999-01,連接蓋,52630,內交NSD,1,50T,514 ,102 ,其他,1
Big Easy,1A02BEH10-03E,喇叭下蓋,52630,內交,1,250T外包,206 ,256 ,其他,1
Big Easy,1A02BEH10-04E,切斷鍵,52630,內交,1,100T外包,144 ,365 ,其他,1
Big Easy 白,1B41UD300-01E,燈罩,0,內交,1,100T,960 ,0 ,其他,1
Big Easy 白,1A328AE00-31E,後蓋總成,0,內交NSD,1,350T,45 ,0 ,其他,1
Big Easy 白,1B41UD200-01E,LCD支架,0,內交,2,130T外包,131 ,0 ,其他,1
Big Easy 白,1A328AD00-31E,後蓋總成,0,內交NSD,1,350T,45 ,0 ,其他,1
Big Easy 白,700-104502-01,連接蓋,0,內交NSD,1,50T,288 ,0 ,其他,1
Big Easy 白,700-104503-01,連接蓋,0,內交NSD,1,50T,288 ,0 ,其他,1
Big Easy 白,1A328AC00-31E,後蓋總成,0,內交NSD,1,350T,45 ,0 ,其他,1
Big Easy 白,1B741TB21-00E,腳架下蓋,0,內交,1,250T外包,103 ,0 ,其他,1
Big Easy 白,1B751TB21-00E,腳架上蓋,0,內交,1,100T外包,131 ,0 ,其他,1
Big Easy 白,1B01N3D00-21E,聽筒支架,0,內交,1,100T,379 ,0 ,其他,1
Big Easy 白,1B417M800-01E,聽筒導光柱,0,內交,1,50T,226 ,0 ,其他,1
Big Easy 白,1B417M900-21E,聽筒上蓋,0,內交,1,180T,116 ,0 ,其他,1
Big Easy 白,1B417MA00-21E,聽筒下蓋,0,內交,1,250T外包,133 ,0 ,其他,1
Big Easy 白,1B41UD700-31E,前蓋,0,內交,1,350T,45 ,0 ,其他,1
Big Easy 白,1B41UDD00-31E,功能鍵,0,內交,1,DC200T,111 ,0 ,其他,1
Big Easy 白,1B41UDD00-32E,功能鍵,0,內交,1,DC200T,111 ,0 ,其他,1
Big Easy 白,1B41UDD00-33E,功能鍵,0,內交,1,DC200T,111 ,0 ,其他,1
Big Easy 白,1B41UCU00-31E,會議鍵,0,內交,1,DC200T,111 ,0 ,其他,1
Big Easy 白,1B41UCU00-32E,會議鍵,0,內交,1,DC200T,111 ,0 ,其他,1
Big Easy 白,1B41UCU00-33E,會議鍵,0,內交,1,DC200T,111 ,0 ,其他,1
Big Easy 白,1B41UD600-01E,喇叭下蓋,0,內交,1,250T外包,262 ,0 ,其他,1
Big Easy 白,1A02BEH10-03E,喇叭下蓋,0,內交,1,250T外包,206 ,0 ,其他,1
Big Easy 白,1B41UDA00-31E,切斷鍵,0,內交,1,100T外包,144 ,0 ,其他,1
Big Easy 白,1A02BEH10-34E,切斷鍵,0,內交,1,100T外包,144 ,0 ,其他,1
Big Easy 白,1B41UDH00-31E,功能鍵,0,內交,1,HDC200T外包,222 ,0 ,其他,1
Big Easy 白,1A02BEH10-36E,功能鍵,0,內交,1,HDC200T外包,222 ,0 ,其他,1
Big Easy 白,1B41UCV00-31E,返回鍵,0,內交,1,DC200T外包,886 ,0 ,其他,1
Big Easy 白,1B41UCW00-31E,掛斷鍵,0,內交,1,DC200T外包,886 ,0 ,其他,1
Big Easy 白,1B41UCY00-01E,軟鍵,0,內交,1,100T,360 ,0 ,其他,1
Big Easy 白,1B41UD000-31E,音量鍵,0,內交,1,DC200T外包,443 ,0 ,其他,1
Big Easy 白,1B41UD100-01E,透光鍵,0,內交,1,DC120T,351 ,0 ,其他,1
Big Easy 白,1B41UD500-01E,喇叭上蓋,0,內交,1,250T外包,267 ,0 ,其他,1
Big Easy 白,1B41UD800-31E,上支架,0,內交,1,DC200T外包,111 ,0 ,其他,1
Big Easy 白,1B41UD900-31E,下支架,0,內交,1,DC200T外包,222 ,0 ,其他,1
Big Easy 白,1B41UDB00-31E,掛鉤,0,內交,1,100T,288 ,0 ,其他,1
Big Easy 白,1B41UDC00-31E,數字鍵,0,內交,1,HDC200T外包,111 ,0 ,其他,1
BEVCR Video74-120333-334-341-335,7B162FP00-01E,前蓋,16630,內交,1,450T,51 ,323 ,其他,1
BEVCR Video74-120333-334-341-335,1A42UTN00-02E,前蓋新次總成,16630,內交,1,450T,62 ,268 ,其他,1
BEVCR Video74-120333-334-341-335,1A42UTN00-05E,喇叭下蓋,16630,內交,1,250T,262 ,64 ,其他,1
BEVCR Video74-120333-334-341-335,7B090R000-01E,支架,16630,內交,1,130T,131 ,127 ,其他,1
BEVCR Video74-120333-334-341-335,7B162FQ00-01E,8845 后蓋,16630,內交,1,450T,51 ,323 ,其他,1
BEVCR Video74-120333-334-341-335,1A42UTK00-00E,後蓋總成,16630,內交,1,450T,51 ,323 ,其他,1
BEVCR Video 74-120333-334-341,7B162FR00-01E,8865后蓋,0,內交,1,450T,51 ,0 ,其他,1
BEVCR Video 74-120333-334-341,1A42UTL00-00E,後蓋總成,0,內交,1,450T,51 ,0 ,其他,1
1A21B4900-11E,1B41FTC10-11E,擋蓋,0,內交,1,50T,411 ,0 ,其他,1
Lafayette F21  1A21B4900-11E,1B41FTD10-11E,腳架蓋,0,內交NSD,1,180T,144 ,0 ,其他,1
Lafayette F21,1B41FTE10-01E,前蓋,0,內交NSD,1,650T,45 ,0 ,其他,1
Lafayette F21,1B41FTF10-01E,導光柱,0,內交NSD,1,100T,554 ,0 ,其他,1
Lafayette F21,1B41FTE10-11E,前蓋,0,內交NSD,1,650T,45 ,0 ,其他,1
1A0249R00P45E,1B013VU00-45E,後蓋,0,內交NSD,1,350T,85 ,0 ,其他,1
1A0249R00P45E,2Q687K051E,腳架桿銷板,0,內交,1,130T外包,511 ,0 ,其他,1
1A0249R00P45E,2Q687K061E,腳架桿按鈕,0,內交,1,130T外包,823 ,0 ,其他,1
1A0249R00P45E,2Q687K071E,腳桿銷,0,內交,1,130T外包,538 ,0 ,其他,1
1A0249R00P45E,2Q687K081E,角架,0,內交,2,450T外包,170 ,0 ,其他,1
1A0249R00P45E,2Q687K091E,角架轉軸,0,內交,2,50T外包,1459 ,0 ,其他,1
大力士WIFI Phone ,1B41HED40-01E,電池蓋,4192,內交,1,180T,120 ,35 ,其他,1
大力士WIFI Phone ,1B41HEA40-01E,前蓋,4192,內交,1,DC200T,55 ,76 ,其他,1
大力士WIFI Phone ,1B41HEB40-01E,導光柱,4192,內交,1,100T,480 ,9 ,其他,1
大力士WIFI Phone ,1B41HEP40-01E,按鍵,20960,內交,5,50T,1047 ,20 ,其他,1
大力士WIFI Phone ,1B41HEE40-01E,后蓋,4192,內交,1,DC200T,55 ,76 ,其他,1
大力士WIFI Phone ,1B41HEF40-01E,支架,4192,內交,1,100T,480 ,9 ,其他,1
大力士WIFI Phone ,1B41HEG40-01E,支架,4192,內交,1,50T,576 ,7 ,其他,1
大力士WIFI Phone ,1B41HEH40-01E,支架,4192,內交,1,DC200T,443 ,9 ,其他,1
大力士WIFI Phone ,3B29HKB20-00E,插銷,4192,內交,1,130T,131 ,32 ,其他,1
Dock,1B41DKC20-01E,底蓋,576,內交NSD,1,350T,103 ,6 ,其他,1
Dock,1A4123F10-01E,按鍵總成,576,內交NSD,1,DC200T,206 ,3 ,其他,1
Dock,1B41DKD20-01E,按鍵,576,內交,1,DC200T,206 ,3 ,其他,1
Dock,1B41DKA20-01E,前蓋,576,內交,1,350T,103 ,6 ,其他,1
Dock,1B41DKB20-01E,後蓋,576,內交,1,450T,51 ,11 ,其他,1
Dock,1B41DKE20-01E,導光柱,576,內交,1,100T,144 ,4 ,其他,1
Dock,1B41DKF20-01E,支架,576,內交,1,180T,131 ,4 ,其他,1
Dock,1B41DKH20-01E,喇叭前蓋,576,內交,1,100T,144 ,4 ,其他,1
Dock,1B41DKK20-01E,喇叭後蓋,576,內交,1,250T,103 ,6 ,其他,1
Black Volantis,700-112904-01,數字鍵,2000,內交,1,HDC200,120 ,17 ,其他,1
Black Volantis,700-112905-01,音量鍵,2000,內交,1,DC120,131 ,15 ,其他,1
Black Volantis,700-112906-01,導航鍵,2000,內交,1,DC120,131 ,15 ,其他,1
Black Volantis,700-112907-01,確認鍵,2000,內交,1,DC120,262 ,8 ,其他,1
Black Volantis,700-112902-01,靜音鍵,2000,內交,1,HDC200,120 ,17 ,其他,1
White  Volantis,700-111536-01,數字鍵,0,內交,1,HDC200,120 ,0 ,其他,1
White  Volantis,700-111537-01,音量鍵,0,內交,1,DC120,131 ,0 ,其他,1
White  Volantis,700-111541-01,導航鍵,0,內交,1,DC120,131 ,0 ,其他,1
White  Volantis,700-111542-01,確認鍵,0,內交,1,DC120,262 ,0 ,其他,1
White  Volantis,700-111518-01,靜音鍵,0,內交,1,HDC200,120 ,0 ,其他,1
Braavos黑+3PCC+白,700-110584-01A,top_housing,523,內交,1,450T,51 ,10 ,其他,1
Braavos黑+3PCC,700-110585-01,數字鍵,523,內交,1,DC200T,144 ,4 ,其他,1
Braavos黑+3PCC,700-110960-01,導航鍵,523,內交,1,DC120T,144 ,4 ,其他,1
Braavos黑+3PCC,700-110961-01,選擇鍵,523,內交,1,DC120T,144 ,4 ,其他,1
Braavos黑+3PCC,700-110962-01,確認鍵,523,內交,1,DC120T,144 ,4 ,其他,1
Braavos黑+3PCC,700-110842-01,key_mute_bottom1,523,內交,1,50T,144 ,4 ,其他,1
Braavos黑+3PCC+白,700-110591-01,中蓋,523,內交,1,180T,72 ,7 ,其他,1
Braavos白,700-110615-01,數字鍵,0,內交,1,HDC200,120 ,0 ,其他,1
Braavos白,700-113141-01,導航鍵,0,內交,1,DC120,144 ,0 ,其他,1
Braavos白,700-113142-01,音量鍵,0,內交,1,DC120,144 ,0 ,其他,1
Braavos白,700-113143-01,確認鍵,0,內交,1,DC120,144 ,0 ,其他,1
Braavos白,700-113823-01,key_mute_bottom1,0,內交,1,50T,144 ,0 ,其他,1
Braavos白,700-110743-01,靜音鍵,0,內交NSD,1,HDC200,120 ,0 ,其他,1
Braavos黑+3PCC+白,700-110600-01,導光柱,523,內交NSD,1,100T,144 ,4 ,其他,1
Braavos黑+3PCC,700-110601-01,靜音鍵,523,內交NSD,1,50T,144 ,4 ,其他,1
White Harbor KEM Video,1B51J7E00-01E,前 蓋,0,內交,1,450T,55 ,0 ,其他,1
White Harbor KEM Video+Audio,1B51J2H00-01E,按鍵,14422.8,內交,2,DC120T,144 ,100 ,其他,1
White Harbor KEM Video+Audio,1B41W1800-01E,選擇鍵1,7211.4,內交,1,HDC200T,480 ,15 ,其他,1
White Harbor KEM Video+Audio,1B41W1900-01E,選擇鍵2,7211.4,內交,1,HDC200T,480 ,15 ,其他,1
White Harbor KEM Video,1B51J7D00-01E,后蓋,0,內交,1,350T,55 ,0 ,其他,1
White Harbor KEM Video,1B41W1C00-01E,連接器左擋板,0,內交,1,50T,288 ,0 ,其他,1
White Harbor KEM Video+Audio,700-45461-02,連接器右擋板,7211.4,內交,1,50T,411 ,18 ,其他,1
White Harbor KEM Video+Audio,700-44998-01,連接蓋,7211.4,內交,1,50T,400 ,18 ,其他,1
White Harbor KEM Audio,1B51J2M00-01E,前 蓋,7211.4,內交,1,250T,60 ,120 ,其他,1
White Harbor KEM Audio,1B51J2L00-01E,后蓋,7211.4,內交,1,250T,60 ,120 ,其他,1
White Harbor KEM Audio,1B41W1C00-01E,連接器左擋板,7211.4,內交,1,50T,288 ,25 ,其他,1
White Harbor KEM Video,1A42L1V00-01E,面板,0,內交NSD,1,100T,144 ,0 ,其他,1
White Harbor KEM Video+Audio,1A42K1WQ00-01E,屏幕支架,14422.8,內交NSD,2,50T,144 ,100 ,其他,1
White Harbor KEM Video+Audio,700-44999-01,連接蓋,7211.4,內交NSD,1,50T,514 ,14 ,其他,1
